FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2014,FY 2014 Request,Development Assistance,DOS and USAID,Asia Regional (USAID),Education and Social Services,Higher Education,140000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Uzbekistan,Peace and Security,Stabilization Operations and Security Sector Reform,300000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,South Africa,Peace and Security,Stabilization Operations and Security Sector Reform,48000
2009,FY 2009 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Guatemala,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3295000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Counterterrorism,2518000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Sudan,Peace and Security,Conflict Mitigation and Reconciliation,16610000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Regional Office Development Mission-Asia (USAID),Health,HIV/AIDS,2338000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Private Sector Competitiveness,2314000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1150000
2014,FY 2014 Request,Global Health Programs - State,DOS and USAID,Kenya,Health,HIV/AIDS,382141000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,"Democracy, Human Rights, and Governance",Good Governance,5000000
2013,FY 2013 Actual Base,Food for Peace Title II,DOS and USAID,Mali,Humanitarian Assistance,"Protection, Assistance and Solutions",13298000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Program Management,Monitoring and Evaluation,5068000
2014,FY 2014 Request,Development Assistance,DOS and USAID,"Bureau for Policy, Planning and Learning (USAID)","Democracy, Human Rights, and Governance",Civil Society,4783000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Lebanon,Peace and Security,Conflict Mitigation and Reconciliation,2000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Mozambique,Program Management,Direct Administrative Costs,3600000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Mali,Health,HIV/AIDS,3000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1615000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Rwanda,Health,Maternal and Child Health,8982000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Honduras,Health,Family Planning and Reproductive Health,3209000
2007,FY 2007 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations and Development Institutions,Health,Maternal and Child Health,125730000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Burundi,Humanitarian Assistance,"Protection, Assistance and Solutions",3578000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Lebanon,Education and Social Services,Higher Education,13157000
2009,FY 2009 Actual Base,International Military Education and Training,DOS and USAID,Mozambique,Peace and Security,Stabilization Operations and Security Sector Reform,376000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2050000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,33177000
2009,FY 2009 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Afghanistan,Peace and Security,Stabilization Operations and Security Sector Reform,46500000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,"Sudan, Pre-2011 Election",Economic Development,Private Sector Competitiveness,3500000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Georgia,Health,Tuberculosis,1430000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,East Asia and Pacific Regional Office (DOS),Economic Development,Infrastructure,8000000
2010,FY 2010 Actual Base,N/A,Peace Corps,N/A,,,400000000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Burma,Economic Development,Macroeconomic Foundation for Growth,1700000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Chad,"Democracy, Human Rights, and Governance",Good Governance,500000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Civil Society,973000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Dominican Republic,Peace and Security,Stabilization Operations and Security Sector Reform,844000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Health,Tuberculosis,1100000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Cambodia,Peace and Security,Stabilization Operations and Security Sector Reform,3890000
2012,FY 2012 Actual Base,Global Health Programs - State,DOS and USAID,Liberia,Health,HIV/AIDS,800000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Malawi,Education and Social Services,Basic Education,4000000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Health,Family Planning and Reproductive Health,900000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Barbados and Eastern Caribbean (DOS & USAID),Education and Social Services,Social Services,1500000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Education and Social Services,Social Services,2000000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Sierra Leone,Peace and Security,Stabilization Operations and Security Sector Reform,401000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Office of Innovation and Development Alliances (USAID),Economic Development,Trade and Investment,2928000
2014,FY 2014 Request,Foreign Military Financing,DOS and USAID,Indonesia,Peace and Security,Stabilization Operations and Security Sector Reform,14000000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1635000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,MENA Initiative (Dos),"Democracy, Human Rights, and Governance",Good Governance,15000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Bolivia,Peace and Security,Counter-Narcotics,17448000
2008,FY 2008 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - UN Voluntary Funds for Technical Cooperation in the Field of Human Rights,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1413000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Economic Development,Economic Opportunity,102000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Trans-Sahara Counter-Terrorism Partnership (DOS),"Democracy, Human Rights, and Governance",Good Governance,400000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Uzbekistan,Peace and Security,Stabilization Operations and Security Sector Reform,80000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Moldova,"Democracy, Human Rights, and Governance",Civil Society,1780000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Ethiopia,"Democracy, Human Rights, and Governance",Civil Society,645000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Egypt,Economic Development,Financial Sector,195050000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Vanuatu,Peace and Security,Stabilization Operations and Security Sector Reform,58000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Zambia,Health,Family Planning and Reproductive Health,13008000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Mali,Health,Family Planning and Reproductive Health,9980000
2015,FY 2015 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Bureau of International Narcotics and Law Enforcement Affairs (DOS),"Democracy, Human Rights, and Governance",Good Governance,3856000
2007,FY 2007 Actual Base,Global Health Programs - State,DOS and USAID,Caribbean Regional Office (USAID),Health,HIV/AIDS,1500000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Economic Development,Agriculture,3155000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Economic Development,Agriculture,6813000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Mozambique,"Democracy, Human Rights, and Governance",Good Governance,800000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Ethiopia,Health,Other Public Health Threats,791000
2007,FY 2007 Actual Base,Global Health Programs - USAID,DOS and USAID,Malawi,Health,HIV/AIDS,12385000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Nicaragua,Environment,Environment,2801000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Economic Development,Trade and Investment,1350000
2011,FY 2011 Actual Base,Global Health Programs - USAID,DOS and USAID,Haiti,Health,Maternal and Child Health,13972000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Bureau of Oceans and International Environmental and Scientific Affairs (DOS),Education and Social Services,Higher Education,5450000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,South Sudan,Education and Social Services,Basic Education,30000000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Uganda,Peace and Security,Transnational Crime,235000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Colombia,Economic Development,Trade and Investment,4200000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Timor-Leste,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2020000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Stabilization Operations and Security Sector Reform,4600000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4000000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Nepal,Peace and Security,Stabilization Operations and Security Sector Reform,1142000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Morocco,Economic Development,Private Sector Competitiveness,2148000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Senegal,Peace and Security,Stabilization Operations and Security Sector Reform,1120000
2015,FY 2015 Request,Food for Peace Title II,DOS and USAID,Niger,Health,Nutrition,4830000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Civil Society,1263000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,"Democracy, Human Rights, and Governance",Civil Society,7728000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Kazakhstan,Peace and Security,Counter-Narcotics,799000
2010,FY 2010 Actual Base,N/A,IAF,Worldwide,Multi-Sector,Multi-Sector - Unspecified,27615000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Health,Nutrition,17685000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Southern Africa Regional Office (USAID),Environment,Environment,6647000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Peace and Security,Stabilization Operations and Security Sector Reform,2473000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,Bolivia,Health,Maternal and Child Health,4191000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Azerbaijan,Peace and Security,Stabilization Operations and Security Sector Reform,600000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Mozambique,Education and Social Services,Basic Education,6000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Tunisia,Economic Development,Private Sector Competitiveness,500000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Family Planning and Reproductive Health,3761000
2011,FY 2011 Actual Base,N/A,DoD,Kenya,Peace and Security,Counter-Narcotics,327000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Private Sector Competitiveness,4700000
2014,FY 2014 Request,Global Health Programs - State,DOS and USAID,India,Health,HIV/AIDS,8386000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Education and Social Services,Social Assistance,1151000
2012,FY 2012 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Good Governance,4500000
