FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2010,4,Obligations,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Maternal and Child Health,15850000
2009,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Civil Society,350000
2009,2,Obligations,Global Health & Child Survival,USAID,Guyana,Guyana,Health,HIV/AIDS,1125000
2013,2,Obligations,N/A,USAID,Tanzania,Tanzania,Education and Social Services,Social Assistance,16500
2013,1,Obligations,Global Health & Child Survival,USAID,Ethiopia,Ethiopia,Health,Maternal and Child Health,1805429.02
2010,4,Obligations,Global Health & Child Survival,USAID,USAID Southern Africa Regional,South Africa Region,Health,HIV/AIDS,1541212.77
2013,4,Obligations,N/A,MCC,Senegal,Senegal,Economic Development,Infrastructure,-64481
2013,4,Obligations,N/A,USAID,India,India,Environment,Environment,-300
2012,4,Obligations,Development Assistance,USAID,Rwanda,Rwanda,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,999948.33
2012,4,Obligations,Global Health & Child Survival,USAID,Mozambique,Mozambique,Health,Family Planning and Reproductive Health,8513400
2006,1,Obligations,N/A,MCC,Mali,Mali,Multi-Sector,Multi-Sector - Unspecified,23302.89
2009,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Asia Region,Program Management,Direct Administrative Costs,68847
2013,4,Obligations,Iraq Relief and Reconstruction Fund,USAID,Worldwide,Worldwide,Program Management,Direct Administrative Costs,-37206.62
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Uzbekistan,Uzbekistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,476815.87
2012,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Education and Social Services,Basic Education,13786929.81
2013,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Health,HIV/AIDS,-7257.74
2010,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Program Management,Monitoring and Evaluation,-4760.47
2010,4,Obligations,Development Assistance,USAID,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs,5449066.36
2013,2,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Economic Development,Agriculture,36771019.01
2013,3,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Program Management,Monitoring and Evaluation,2658619.61
2013,3,Obligations,International Disaster Assistance,USAID,Worldwide,Worldwide,Humanitarian Assistance,Disaster Readiness,6475105.48
2014,2,Obligations,N/A,USAID,Guinea,Guinea,"Democracy, Human Rights, and Governance",Civil Society,1142.74
2013,2,Obligations,N/A,USAID,Central Asia Region,Central Asia Region,Program Management,Direct Administrative Costs,61163.8
2013,1,Obligations,Global Health & Child Survival,USAID,Yemen,Yemen,Program Management,Monitoring and Evaluation,780000
2014,2,Obligations,Global Health & Child Survival,USAID,Cambodia,Cambodia,Health,Tuberculosis,4181610
2012,4,Obligations,Operating Expenses,USAID,South Africa,Worldwide,Program Management,Direct Administrative Costs,6821977.57
2010,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Economic Development,Private Sector Competitiveness,99698295
2013,2,Obligations,N/A,USAID,Nigeria,Nigeria,Education and Social Services,Basic Education,149316.67
2014,2,Obligations,Transition Initiatives,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Peace and Security,Conflict Mitigation and Reconciliation,-13087.72
2013,3,Obligations,Economic Support Fund,USAID,Liberia,Liberia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,12978.8
2011,,Obligations,N/A,Treasury,International Organizations and Development Institutions (US Treasury) - Global Agriculture and Food Security Program (GAFSP) ,N/A,Multi-Sector,International Contributions,99800000
2012,3,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,"Democracy, Human Rights, and Governance",Civil Society,5800000
2014,1,Obligations,N/A,Peace Corps,Ethiopia,Ethiopia,,Economic Development - General,69785.66
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Program Management,Direct Administrative Costs,-2062.59
2013,4,Obligations,N/A,MCC,Moldova,Moldova,Economic Development,Infrastructure,-18999999.67
2009,2,Obligations,Development Assistance,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Agriculture,4452000
2010,4,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Peace and Security,Stabilization Operations and Security Sector Reform,-15677.6
2014,1,Obligations,N/A,Peace Corps,Burkina Faso,Burkina Faso,,Health - General,174050.36
2013,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Education and Social Services,Basic Education,17951417.68
2013,2,Obligations,Child Survival and Health Programs Fund,USAID,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs,0
2009,4,Obligations,Development Assistance,USAID,Timor-Leste,Timor-Leste,Health,Water Supply and Sanitation,4017007.92
2011,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Latin America and Caribbean Region,Program Management,Direct Administrative Costs,5731.14
2009,,Obligations,N/A,USADF,Mauritania,Mauritania,,Agriculture,566211
2010,3,Obligations,Child Survival and Health Programs Fund,USAID,USAID Global Health,Worldwide,Health,Tuberculosis,-986.91
2010,2,Obligations,Operating Expenses,USAID,USAID Caribbean Regional,Worldwide,Program Management,Direct Administrative Costs,54323.58
2013,2,Obligations,Economic Support Fund,USAID,Sierra Leone,Sierra Leone,Program Management,Monitoring and Evaluation,12179
2012,,Obligations,N/A,IAF,Belize,Belize,,Agriculture,36500
2013,2,Obligations,N/A,DOS,Russia,Russia,,Multi-Sector - Unspecified,314.59
2012,1,Obligations,Development Assistance,USAID,Timor-Leste,Timor-Leste,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,300000
2009,4,Obligations,Special Assistance Initiatives,USAID,Joint Eurasia Regional,Eastern European Region,Program Management,Monitoring and Evaluation,375073.48
2012,1,Obligations,Commodity Credit Corporation,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,"Protection, Assistance and Solutions",-28708.9
2014,2,Obligations,Commodity Credit Corp Title II and III,USAID,Sierra Leone,Sierra Leone,Health,Nutrition,1220000
2011,1,Obligations,N/A,Peace Corps,Ecuador,Ecuador,,Economic Development - General,854200.23
2012,4,Obligations,Development Assistance,USAID,USAID Middle East Regional,South Asia Region,Program Management,Direct Administrative Costs,-8872.290000000001
2013,4,Obligations,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Water Supply and Sanitation,303452
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Central Asia Region,Program Management,Direct Administrative Costs,133182.52
2010,,Obligations,N/A,USADF,Mauritania,Mauritania,,Agriculture,1125971
2009,4,Obligations,Development Assistance,USAID,Timor-Leste,Timor-Leste,Program Management,Monitoring and Evaluation,302634
2012,4,Obligations,Global Health & Child Survival,USAID,Guinea,Guinea,Health,Malaria,9119000
2012,2,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Health,Water Supply and Sanitation,250000
2012,4,Obligations,Development Assistance,USAID,Mozambique,Mozambique,Program Management,Monitoring and Evaluation,1410100
2011,2,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Health,HIV/AIDS,0
2012,1,Obligations,N/A,MCC,Nicaragua,Nicaragua,Economic Development,Infrastructure,-264392
2011,3,Obligations,N/A,MCC,El Salvador,El Salvador,Multi-Sector,Multi-Sector - Unspecified,27338.8
2012,1,Obligations,Development Assistance,USAID,Morocco,Morocco,"Democracy, Human Rights, and Governance",Civil Society,40000
2010,,Obligations,N/A,USADF,Burkina Faso,Burkina Faso,,Economic Opportunity,24561
2011,2,Obligations,Millennium Challenge Corporation,USAID,Moldova,Moldova,"Democracy, Human Rights, and Governance",Civil Society,-2006
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,USAID Operating Expense,Worldwide,Economic Development,Financial Sector,56.84
2011,4,Obligations,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Environment,Clean Productive Environment,5210000
2013,4,Obligations,Gifts and Donations,USAID,Somalia,Somalia,Program Management,Monitoring and Evaluation,452011.45
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,Economic Development,Private Sector Competitiveness,-100
2013,3,Obligations,Child Survival and Health Programs Fund,USAID,Djibouti,Djibouti,Program Management,Direct Administrative Costs,-4572.9
2014,2,Obligations,N/A,USAID,Africa Region,Africa Region,Health,Water Supply and Sanitation,2770837
2009,4,Obligations,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,Health,Water Supply and Sanitation,29.56
2013,1,Obligations,N/A,MCC,Georgia,Georgia,Economic Development,Agriculture,-.01
2013,4,Obligations,N/A,USAID,Honduras,Honduras,"Democracy, Human Rights, and Governance",Good Governance,7457.54
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2750000
2013,4,Obligations,Economic Support Fund,USAID,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Civil Society,200000
2014,2,Obligations,Commodity Credit Corp Title II and III,USAID,Turkey,Turkey,Humanitarian Assistance,"Protection, Assistance and Solutions",67100
2011,2,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Health,Other Public Health Threats,14557343
2010,3,Obligations,Global Health & Child Survival,USAID,Honduras,Honduras,Health,HIV/AIDS,994153
2010,2,Obligations,Global Health & Child Survival,USAID,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs,-90.15000000000001
2009,3,Obligations,Development Assistance,USAID,USAID Central America Regional,Central American Region,Environment,Clean Productive Environment,42297
2013,2,Obligations,N/A,USAID,Nepal,Nepal,Economic Development,Private Sector Competitiveness,271.95
2014,2,Obligations,Economic Support Fund,USAID,Nigeria,Nigeria,Program Management,Direct Administrative Costs,-11.59
2010,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ghana,Humanitarian Assistance,"Protection, Assistance and Solutions",50000
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,7410.44
2011,0,Obligations,N/A,DoD,Albania,Albania,Peace and Security,Counterterrorism,305000
2010,3,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Yemen,Program Management,Direct Administrative Costs,1097366
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Program Management,Direct Administrative Costs,85379.39
2013,2,Obligations,N/A,MCC,Burkina Faso,Burkina Faso,Economic Development,Macroeconomic Foundation for Growth,-400000
2009,3,Obligations,HIV/AIDS WCF,USAID,USAID Global Health,Worldwide,Health,HIV/AIDS,126653766
2011,4,Obligations,Economic Support Fund,USAID,Colombia,Colombia,Program Management,Monitoring and Evaluation,1844602
2010,1,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Economic Development,Agriculture,22777000
2009,3,Obligations,Gifts and Donations,USAID,Nigeria,Nigeria,"Democracy, Human Rights, and Governance",Good Governance,322697
2009,2,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Education and Social Services,Basic Education,262.47
2009,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Peace and Security,Conflict Mitigation and Reconciliation,2389678.8
2012,3,Obligations,Global HIV/AIDS Initiative,USAID,USAID Operating Expense,Worldwide,Health,HIV/AIDS,7.78
2009,2,Obligations,Operating Expenses,USAID,Senegal,Worldwide,Program Management,Direct Administrative Costs,1087082.94
2011,3,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,"Democracy, Human Rights, and Governance",Good Governance,150000
2009,1,Obligations,Development Assistance,USAID,Paraguay,Paraguay,Economic Development,Trade and Investment,-2359.05
2013,1,Obligations,Economic Support Fund,USAID,Colombia,Colombia,Program Management,Direct Administrative Costs,1106326.78
2010,3,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Education and Social Services,Basic Education,65.18000000000001
2013,3,Obligations,N/A,USAID,Worldwide,Worldwide,"Democracy, Human Rights, and Governance",Good Governance,189219.26
2011,4,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Peace and Security,Conflict Mitigation and Reconciliation,-11197975.06
2010,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,"Democracy, Human Rights, and Governance",Civil Society,598598
2011,2,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions",1336899.11
2009,1,Obligations,Global Health & Child Survival,USAID,USAID Operating Expense,East Asia Region,Health,HIV/AIDS,200
2009,4,Obligations,Global Health & Child Survival,USAID,Haiti,Haiti,Health,Family Planning and Reproductive Health,7092070
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Albania,Humanitarian Assistance,"Protection, Assistance and Solutions",-38.14
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Humanitarian Assistance,"Protection, Assistance and Solutions",1867451.92
2010,2,Obligations,Development Assistance,USAID,Sri Lanka,Sri Lanka,Economic Development,Infrastructure,-7068.3
2013,2,Obligations,N/A,USAID,East Asia Region,East Asia Region,Environment,Clean Productive Environment,4660000
2010,4,Obligations,Development Assistance,USAID,Bolivia,Bolivia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-35842.34
2010,4,Obligations,Global Health & Child Survival,USAID,Azerbaijan,Azerbaijan,Health,Tuberculosis,92000
2013,2,Obligations,Global Health & Child Survival,USAID,Caribbean Region,Caribbean Region,Health,HIV/AIDS,262617.35
2012,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Humanitarian Assistance,Disaster Readiness,1000000
